"General government debt"
" % of GDP, 2017"
"Category","Government gross debt"
"Japan",219.86
"Greece",193.02
"Italy",152.1
"Portugal",143.13
"France",124.48
"Belgium",121.55
"United Kingdom",120.58
"Spain",119.07
"OECD",106.9
"United States",105.43
"Austria",97.11
"Canada",96.14
"Hungary",93.23
"Slovenia",89.84
"OECD average country",81.85
"Iceland",77.94
"Finland",77.92
"Ireland",76.24
"Israel",73.91
"Germany",73.28
"Netherlands",70.81
"Poland",68.96
"Slovak Rep.",65.34
"Colombia",56.11
"Sweden",52.11
"Denmark",48.96
"Mexico",48.94
"Latvia",47.33
"Lithuania",47.17
"Norway",44.29
"Czechia",43.33
"Australia",43.12
"Switzerland",42.46
"Korea",40.72
"New Zealand",39.5
"Türkiye",32.28
"Chile",29.36
"Luxembourg",28.62
"Estonia",13.12
